Item	Calorie	Total Fat	Carbs	Protein	Sugar
Thomas Plain Bagel	270	1.5	53	10	5
Cream Cheese (2 tbsp)	80	7	2	2	0
Peanut Butter (2tbsp)	190	16	7	8	0
Wheat Slice (1)	60	0.5	11	4	0
Cheerios (1.5 cup)	140	2.5	29	5	1
Glass Milk (1 cup)	140	5	14	10	0
Corn Dog	180	9	18	7	6
Ketchup (1tbsp)	20	0	5	0	4
Hebrew National Bun Length Hot Dog	170	15	2	6	0
Sunnyside Hot Dog Bun	140	1.5	26	4	4
Diogornio Pepperoni Slice (1/6 pizza)	300	11	37	14	3
Chocolate Chip Eggo Waffle (2)	200	7	32	4	9
Just Bare Nuggets (84g)	160	6	9	16	1
Tater Tots (18)	260	16	28	4	0
Vegetable Oil (1tbsp)	120	13.6	0	0	0
4.5oz uncooked chickenbreast	165	3.6	0	31	0
Krusteaz Pancake Mix (1/2 cup)	210	1.5	45	4	0
Made With Milk (1/3 cup)	45	2	5	4	0
Maple Syrup (1 tbsp)	50	0	14	0	12
Smart Kids Vitamins	35	0	7	0	5
Mission Tortilla White Flour Taco Size	140	3	26	4	1
Tillamook Medium Cheddar Slice (1)	90	7	1	0	5
Bolillo Roll	210	1	41	6	2
Lucky Charms (1 cup)	140	1.5	30	3	12
Frosted Flakes (1 cup)	130	0	33	2	12
Cinnamon Toast Crunch (1 cup)	170	4	33	2	12
Peanut Butter Cap'n Crunch (1 cup)	170	3.5	32	3	13
Chik Patty (1)	170	9	17	9	1
Chicken Cup of Noodles	290	11	41	6	0
Babybell Original Cheese	70	5	0	4	0